Major,Degree Type,Early Career Pay,Mid-Career Pay,
Radio & Television,Bachelors,43100,70500,
Technology Teacher Education,Bachelors,47700,70400,
Educational Studies (ED),Bachelors,40300,70200,
Music,Bachelors,44300,70200,
Business Leadership,Bachelors,50100,70200,
Drafting & Design,Bachelors,51000,70100,
Plant Sciences,Bachelors,48000,70100,
Criminal Justice,Bachelors,42800,69800,
Web Design,Bachelors,49900,69800,
Graphic Design,Bachelors,45100,69700,
Nutrition,Bachelors,48100,69600,
Nutrition & Dietetics,Bachelors,50800,69600,
Missions,Bachelors,41300,69500,
Dramatic Art,Bachelors,41400,69400,
Fashion Marketing & Management,Bachelors,47700,69100,
Interdisciplinary Studies (IS),Bachelors,44600,68900,
Hospitality & Tourism,Bachelors,44200,68800,
Human Ecology,Bachelors,42100,68800,
Ornamental Horticulture,Bachelors,46000,68800,
Physical Therapist Assistant Studies,Bachelors,49900,68800,
Public Health (PH),Bachelors,46000,68800,
Art Therapy,Bachelors,41100,68600,
Dietetics,Bachelors,51300,68600,
Landscape Management,Bachelors,52300,68600,
Applied Sociology,Bachelors,42200,68500,
Fine Arts,Bachelors,43200,68500,
Modern Language Spanish,Bachelors,43800,68500,
Women's Studies,Bachelors,45200,68500,
Social & Criminal Justice,Bachelors,44800,68500,
Animal Science,Bachelors,41200,68300,
New Media,Bachelors,46000,68300,
Textiles & Clothing,Bachelors,45100,68300,
Event Management,Bachelors,41700,68200,
Family & Consumer Science,Bachelors,42600,68000,
Speech-Language Pathology,Bachelors,44100,67900,
Technical Theatre,Bachelors,41000,67600,
Education,Bachelors,44100,67500,
Foods & Nutrition,Bachelors,47000,67500,
Recreation Management,Bachelors,42300,67500,
Business & Healthcare Management,Bachelors,46900,67300,
Agricultural Teacher Education,Bachelors,53500,67100,
Music Composition,Bachelors,44000,66900,
Art,Bachelors,43400,66700,
Psychology & Sociology,Bachelors,42800,66700,
Drawing & Painting,Bachelors,42800,66600,
Nonprofit Management,Bachelors,42300,66300,
Small Business Management,Bachelors,47100,66200,
Behavioral Science,Bachelors,43000,66000,
Horticulture & Agronomy,Bachelors,52500,65900,
Health Services Administration,Bachelors,42700,65800,
Multidisciplinary Studies,Bachelors,41800,65800,
Restaurant & Food Service Management,Bachelors,43900,65800,
Consumer Affairs,Bachelors,51000,65700,
Training and Development,Bachelors,52600,65600,
Health & Exercise Science,Bachelors,41700,65600,
Electronic Media,Bachelors,45300,65600,
Environmental Resource Management,Bachelors,48700,65500,
Theatre Arts,Bachelors,43500,65300,
Applied Linguistics,Bachelors,46800,65200,
African American & African Studies,Bachelors,46400,65100,
Exercise & Sports Science,Bachelors,42600,65100,
General Studies,Bachelors,43600,65100,
Justice Studies,Bachelors,45300,65100,
Video Production,Bachelors,42800,65100,
Graphic Arts,Bachelors,42700,64900,
Physical Education Teaching,Bachelors,42200,64900,
Health Services Management,Bachelors,41600,64800,
Physical Education & Exercise Science,Bachelors,44100,64800,
Drawing,Bachelors,37400,64800,
Exercise Science,Bachelors,41400,64700,
Printmaking,Bachelors,38400,64300,
Sports Administration,Bachelors,43300,64300,
Theology,Bachelors,42800,64300,
Interior Design & Merchandising,Bachelors,43700,64200,
Recreation & Leisure Studies,Bachelors,40300,64200,
Human Development,Bachelors,43700,64100,
Music Industry,Bachelors,45800,64100,
Wildlife Management,Bachelors,39700,64100,
Supervision & Management,Bachelors,41700,64100,
Health & Wellness,Bachelors,40100,64000,
Culinary Arts & Food Service Management,Bachelors,41300,64000,
Mortuary Science,Bachelors,43500,64000,
Clinical Psychology,Bachelors,43000,63900,
Community Health Education,Bachelors,42600,63900,
Dance,Bachelors,45100,63900,
Speech Pathology,Bachelors,42800,63700,
Gender Studies,Bachelors,45500,63600,
Secondary English Teacher Education,Bachelors,42000,63600,
Photography,Bachelors,43800,63500,
English Teacher Education,Bachelors,43300,63100,
Paralegal Studies,Bachelors,39600,63100,
Social Studies Teacher Education,Bachelors,43400,63100,
Teaching English as a Second Language (ESL),Bachelors,42800,63000,
Music Teacher Education,Bachelors,42000,63000,
Health Promotion,Bachelors,42300,62800,
Recording Arts,Bachelors,44800,62800,
Photojournalism,Bachelors,41900,62600,
Recreation Administration,Bachelors,47000,62500,
Radio Broadcasting,Bachelors,46300,62400,
Sculpture,Bachelors,40300,62200,
Painting,Bachelors,40700,62000,
Psychology & Social Sciences,Bachelors,42600,62000,
Health & Physical Education Teaching,Bachelors,38700,61900,
Organizational Administration,Bachelors,45000,61800,
Tourism Management,Bachelors,43100,61600,
Instrumental Music Teacher Education,Bachelors,41700,61600,
Emergency Medical Services (EMS),Bachelors,44200,61400,
Community Health,Bachelors,45400,61300,
Health & Human Performance,Bachelors,38100,61100,
Music Therapy,Bachelors,43100,60700,
Social Services,Bachelors,39900,60500,
Rehabilitation Services,Bachelors,35800,60200,
Horticulture,Bachelors,43000,60100,
University Studies,Bachelors,42400,60000,
Church Ministries,Bachelors,40000,59900,
Communicative Disorders,Bachelors,47400,59800,
Social Science Teacher Education,Bachelors,45400,59800,
Wildlife Biology,Bachelors,42900,59800,
Community Development,Bachelors,44600,59400,
Psychology & Human Services,Bachelors,35600,59400,
Athletic Training,Bachelors,42100,59300,
Biblical Studies,Bachelors,40500,59000,
Biblical Studies & Practical Ministries,Bachelors,36400,58900,
Counseling Psychology,Bachelors,42700,58900,
Recreational Studies,Bachelors,42100,58900,
Teaching,Bachelors,42000,58900,
Home Economics,Bachelors,41800,58700,
Library & Information Science,Bachelors,48200,58700,
Human Development & Family Studies,Bachelors,40300,58600,
Tourism & Travel,Bachelors,42200,58600,
Landscape Design,Bachelors,49000,58500,
Ceramics,Bachelors,42200,58300,
Clinical Social Work (CSW),Bachelors,43500,58300,
Parks & Recreation Management,Bachelors,42700,58300,
Pastoral Ministry,Bachelors,38700,58000,
Vocal Performance,Bachelors,42600,58000,
Art Teacher Education,Bachelors,40300,57500,
Bible Studies & Theology,Bachelors,40000,57500,
Forensic Accounting,Bachelors,48300,57200,
Communication Sciences & Disorders,Bachelors,43300,57100,
Legal Assistant Studies,Bachelors,38100,57100,
Special Education,Bachelors,41300,57000,
Conservation Biology,Bachelors,42800,56900,
Family Studies,Bachelors,39200,56800,
Christian Ministry,Bachelors,38100,56400,
Speech & Hearing,Bachelors,43300,56400,
Health and Human Services,Bachelors,43500,56300,
Musical Theatre,Bachelors,43500,56100,
History Teacher Education,Bachelors,47700,55600,
Developmental Psychology,Bachelors,38200,55000,
Therapeutic Recreation,Bachelors,39500,54900,
Applied Behavioral Science,Bachelors,40500,54600,
Community & Human Services,Bachelors,42400,54600,
Social Work (SW),Bachelors,38600,54600,
Office Administration,Bachelors,38700,54500,
Ministry,Bachelors,36700,54300,
Family & Community Services,Bachelors,42200,54300,
Youth Ministry,Bachelors,37400,54200,
Elementary Education,Bachelors,40000,53800,
Voice & Opera,Bachelors,34500,53300,
Christian Education,Bachelors,38700,53200,
Conflict Resolution,Bachelors,44400,53200,
Baking & Pastry Arts,Bachelors,37500,53000,
Human Services Management,Bachelors,45600,53000,
Hospitality & The Culinary Arts,Bachelors,38800,52900,
Human Services (HS),Bachelors,38700,52500,
Counseling,Bachelors,39900,51700,
Recreational Therapy,Bachelors,38400,51600,
Child Development,Bachelors,37400,51400,
Educational Psychology,Bachelors,36900,51200,
Middle School Education,Bachelors,41200,50800,
Mental Health Counseling,Bachelors,36100,50000,
Early Childhood & Elementary Education,Bachelors,38000,48400,
Equine Studies,Bachelors,35700,47100,
Addiction Studies,Bachelors,38000,47000,
Child & Family Studies,Bachelors,36400,46500,
Rehabilitation Counseling,Bachelors,39200,46400,
Outdoor Education,Bachelors,37400,46300,
Early Childhood Education,Bachelors,36100,45400,
Mental Health,Bachelors,36900,45000,
Medical Assisting,Bachelors,36000,44800,
Metalsmithing,Bachelors,40000,40300,
