Major,Degree Type,Early Career Pay,Mid-Career Pay,
Accounting & Taxation,Bachelors,55600,107800,
Building Construction (BC),Bachelors,67200,107800,
International & Comparative Politics,Bachelors,45700,107800,
Civil & Environmental Engineering,Bachelors,65300,107500,
Business Information Systems,Bachelors,65000,107400,
Financial Economics,Bachelors,63300,107200,
Sales & Business Marketing,Bachelors,55900,107200,
Plastics Engineering,Bachelors,68400,107100,
Information Technology Management,Bachelors,63400,107000,
Polymer Science & Engineering,Bachelors,74500,106900,
Informatics,Bachelors,70300,106800,
Computer Management Information Systems (CMIS),Bachelors,55700,106600,
Information Systems (IS),Bachelors,63900,106600,
Agricultural Economics,Bachelors,55600,106300,
Data Processing,Bachelors,65600,106200,
European Studies,Bachelors,47500,106100,
Biosystems Engineering,Bachelors,64700,106000,
Nuclear Engineering Technology (NET),Bachelors,83500,106000,
Economics & Political Science,Bachelors,57100,105700,
Global & International Studies,Bachelors,50000,105700,
Organic Chemistry,Bachelors,44500,105600,
Industrial Hygiene,Bachelors,58600,105500,
Safety Science,Bachelors,62400,105500,
Commerce,Bachelors,66800,105400,
Rhetoric,Bachelors,51600,105400,
Business Computer Information Systems (BCIS),Bachelors,64000,105300,
Finance,Bachelors,60200,105200,
Plastics Engineering Technology,Bachelors,66900,105100,
Molecular Biology,Bachelors,54100,105000,
Environmental Engineering,Bachelors,62600,104800,
International Management,Bachelors,54100,104800,
Computer Information Systems,Bachelors,59400,104700,
Corporate Finance,Bachelors,63600,104300,
Genetics,Bachelors,52200,104100,
International Business,Bachelors,55300,104100,
Agricultural Engineering (AE),Bachelors,63100,104000,
Consumer Economics,Bachelors,53700,103800,
Finance & Marketing,Bachelors,56800,103700,
Computer Information Systems (CIS),Bachelors,60500,103500,
Business Finance,Bachelors,57200,103300,
Psychobiology,Bachelors,49600,103100,
Strategic Management,Bachelors,66200,103100,
Construction Trades,Bachelors,61900,103100,
Operations Management (OM),Bachelors,61500,103000,
Entrepreneurship & Leadership,Bachelors,57100,102900,
Electrical Engineering Technology (EET),Bachelors,66300,102800,
Computer Science & Information Technology,Bachelors,66000,102700,
Food Marketing,Bachelors,56300,102700,
International Marketing,Bachelors,59000,102600,
Network Engineering,Bachelors,60700,102600,
Building Construction Management,Bachelors,61300,102400,
Engineering Technology (ET),Bachelors,58400,102300,
International Relations,Bachelors,52800,102200,
Management & Finance,Bachelors,56800,102200,
Information Security,Bachelors,66400,102200,
Business Operations,Bachelors,63500,102100,
Industrial Management,Bachelors,57800,102000,
Architectural Engineering,Bachelors,65000,101900,
Hotel Administration,Bachelors,64900,101900,
Manufacturing,Bachelors,57600,101500,
Agricultural Economics & Business,Bachelors,54900,101400,
Web Development,Bachelors,56400,101300,
Aviation,Bachelors,54000,101200,
Telecommunications Management,Bachelors,55000,101200,
Property Management,Bachelors,55200,101000,
Comparative Literature,Bachelors,48100,100900,
Construction Science & Management,Bachelors,64700,100800,
Biotechnology,Bachelors,53100,100700,
Industrial & Labor Relations,Bachelors,69800,100600,
Real Estate,Bachelors,59900,100600,
Mechanical Engineering Technology (MET),Bachelors,64200,100400,
Labor Relations,Bachelors,53000,100300,
Electronics,Bachelors,57500,100200,
Biochemistry (BCH),Bachelors,50400,99900,
Politics,Bachelors,53000,99900,
Accounting & Auditing,Bachelors,57800,99800,
Chinese Language,Bachelors,54200,99600,
Information Science (IS),Bachelors,66300,99500,
East Asian Studies,Bachelors,49800,99400,
Accounting & Finance,Bachelors,59200,99300,
Network Security,Bachelors,62300,99300,
Information Technology (IT),Bachelors,59100,99200,
Aviation Management,Bachelors,50900,99100,
Occupational Health and Safety,Bachelors,59900,99100,
Agribusiness,Bachelors,50700,98900,
Business & Marketing,Bachelors,51000,98900,
Computer Engineering Technology (CET),Bachelors,63000,98900,
Computer Security,Bachelors,68100,98700,
Operations & Supply Chain Management,Bachelors,61300,98600,
Entomology,Bachelors,45900,98500,
Music Production & Engineering,Bachelors,43100,98400,
Industrial Engineering Technology,Bachelors,67200,98400,
Logistics & Supply Chain Management,Bachelors,59000,98300,
Supply Chain Management,Bachelors,61700,98300,
Accounts,Bachelors,59800,98300,
Economics & Management,Bachelors,54400,98200,
Environmental Policy Analysis & Planning,Bachelors,51000,98200,
Physical Therapy,Bachelors,55500,98200,
European History,Bachelors,52300,98000,
Robotics & Automation,Bachelors,66100,98000,
Geological Engineering,Bachelors,61700,97900,
Manufacturing Technology,Bachelors,59900,97900,
Chemistry,Bachelors,51600,97500,
Business Logistics & Transportation,Bachelors,56400,97400,
Food Science & Technology,Bachelors,53100,97300,
City & Regional Planning,Bachelors,51800,97200,
Civil Engineering Technology (CET),Bachelors,58300,97200,
Electronics Engineering Technology (EET),Bachelors,64300,97100,
English & Psychology,Bachelors,42600,97100,
Finance & Banking,Bachelors,55300,97100,
Mechanical Design,Bachelors,60900,97100,
Applied Technology,Bachelors,55500,97000,
Marketing & Management,Bachelors,50000,96900,
Technical & Scientific Communication,Bachelors,50700,96800,
Financial Planning,Bachelors,54000,96600,
Organizational Behavior,Bachelors,57000,96600,
Marketing,Bachelors,51700,96600,
Dairy Science,Bachelors,51200,96200,
Project Management,Bachelors,56800,96200,
Government & International Politics (GVIP),Bachelors,51300,96100,
Latin American Studies,Bachelors,46700,96100,
Industrial Design (ID),Bachelors,55100,95900,
Web Design & Development,Bachelors,53100,95900,
Computing & Information Systems (CIS),Bachelors,58100,95800,
Electromechanical Engineering,Bachelors,70500,95800,
Industrial Technology (IT),Bachelors,62200,95800,
Information Technology (IT) & Systems,Bachelors,61100,95800,
Biopsychology,Bachelors,53300,95700,
Government & Politics,Bachelors,52400,95700,
Microbiology & Immunology,Bachelors,54900,95400,
Chemistry & Environmental Science,Bachelors,48200,95400,
Interactive Media Design,Bachelors,54000,95300,
Risk Management,Bachelors,58500,95300,
Cell Biology,Bachelors,50100,95200,
Aeronautics,Bachelors,62800,95100,
Welding Engineering Technology,Bachelors,74700,95000,
Finance & Management Information Systems,Bachelors,63900,94800,
Computer Science (CS) & Business,Bachelors,81100,94600,
Environmental Science & Policy,Bachelors,49500,94500,
Marketing & Communications,Bachelors,49600,94500,
Safety Management,Bachelors,60100,94500,
Business Technology Management,Bachelors,57400,94400,
Computer Networking Systems,Bachelors,55600,94400,
Biomedical Sciences,Bachelors,43600,94300,
Philosophy,Bachelors,52600,94300,
Sales & Marketing,Bachelors,52700,94300,
Manufacturing Engineering Technology,Bachelors,66000,94300,
Environmental Health & Safety,Bachelors,57600,94200,
Organizational Psychology,Bachelors,51200,94100,
Industrial Psychology,Bachelors,50000,94000,
Political Science,Bachelors,50700,94000,
Real Estate Development,Bachelors,57100,94000,
Social Ecology,Bachelors,49000,93700,
Risk Management & Insurance,Bachelors,59500,93600,
Radiation Therapy,Bachelors,68400,93400,
French Literature,Bachelors,46400,93300,
Occupational Therapy (OT),Bachelors,54100,93300,
Advertising,Bachelors,47200,93200,
Accounting,Bachelors,54800,93100,
Geology,Bachelors,50400,93000,
Strategic Communication,Bachelors,47100,93000,
Transportation & Logistics Management,Bachelors,57600,93000,
Financial Accounting,Bachelors,56100,92900,
Cell & Molecular Biology,Bachelors,51900,92800,
Industrial Safety,Bachelors,55200,92800,
Insurance,Bachelors,56000,92800,
Manufacturing Management,Bachelors,64000,92800,
Networks & Telecommunications,Bachelors,54300,92800,
Labor Studies,Bachelors,46600,92600,
Digital Media Design,Bachelors,46700,92600,
Advertising & Marketing Communications,Bachelors,48300,92600,
Cinema Studies,Bachelors,47900,92500,
Electronic & Computer Technology,Bachelors,63800,92500,
Marketing Communication,Bachelors,45700,92500,
Construction Technology,Bachelors,59100,92400,
Architecture,Bachelors,51000,92300,
Applied Statistics,Bachelors,65900,92200,
Biological Sciences,Bachelors,49300,92100,
Food Science,Bachelors,52500,92100,
Urban & Regional Planning,Bachelors,51800,92100,
Marketing Management,Bachelors,51300,92000,
Computer & Network Administration,Bachelors,56800,91900,
Applied Computer Science,Bachelors,66100,91800,
Sales,Bachelors,61500,91600,
Environmental Design,Bachelors,47700,91400,
Hotel Management,Bachelors,49100,91400,
Advertising Design,Bachelors,52700,91300,
Digital Arts,Bachelors,45600,91300,
Financial Management,Bachelors,54300,91300,
Electronic Systems Technology (EST),Bachelors,81000,91200,
Italian Language,Bachelors,51400,91100,
German Studies,Bachelors,50000,91000,
Quality Management,Bachelors,57400,90800,
Microbiology,Bachelors,48400,90300,
Entrepreneurship,Bachelors,54800,90300,
Interactive Media,Bachelors,52700,90200,
Global Business Management,Bachelors,55900,90200,
Network Systems Administration,Bachelors,57900,90200,
Police Science,Bachelors,55400,90200,
Hydrology,Bachelors,48700,90100,
Business Data Analysis,Bachelors,64700,90000,
Database Management,Bachelors,65900,90000,
Spanish Literature,Bachelors,51100,90000,
Business Technology,Bachelors,52800,89900,
Business Management & Marketing,Bachelors,48900,89800,
Technical Management,Bachelors,64400,89700,
Human Biology,Bachelors,51100,89600,
Meteorology,Bachelors,46200,89500,
Computer Graphics Technology (CGT),Bachelors,49000,89200,
Urban Planning,Bachelors,50500,89200,
Aviation Technology,Bachelors,58100,89100,
Environmental Health,Bachelors,50000,89100,
Agricultural Science,Bachelors,48900,88900,
Agronomy,Bachelors,50200,88900,
International Studies,Bachelors,50000,88900,
Design,Bachelors,52800,88800,
Applied Science,Bachelors,46400,88700,
Architectural Engineering Technology,Bachelors,52200,88700,
German Language,Bachelors,50700,88700,
Technology,Bachelors,56200,88600,
Advertising & Promotion,Bachelors,46100,88500,
Pre-law,Bachelors,46800,88400,
Digital Media,Bachelors,47300,88200,
Biological Anthropology,Bachelors,46200,88100,
Personal Financial Planning,Bachelors,53800,88100,
Professional Pilot Education,Bachelors,63700,88000,
Textile Technology,Bachelors,54000,88000,
Web & Digital Media Development,Bachelors,52300,88000,
Entrepreneurial Studies,Bachelors,48700,87900,
Fashion Design,Bachelors,47500,87700,
Retailing,Bachelors,51300,87600,
Business Communication,Bachelors,50900,87300,
Environmental Science,Bachelors,49100,87300,
Product Design Engineering,Bachelors,65500,87200,
English Literature,Bachelors,47700,87000,
Logistics,Bachelors,57600,87000,
Math & Science,Bachelors,55600,86900,
International Trade & Business,Bachelors,54800,86800,
Pre-Medicine,Bachelors,50800,86800,
Speech & Drama,Bachelors,37500,86800,
Toxicology,Bachelors,44600,86800,
Advertising & Marketing,Bachelors,49000,86700,
Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,54000,86700,
Marketing & Mass Communications,Bachelors,45400,86700,
Welding Technology,Bachelors,48400,86700,
General Business,Bachelors,50200,86600,
Construction Engineering Technology,Bachelors,55800,86400,
Architectural Studies,Bachelors,45400,86400,
Aviation Maintenance Technology,Bachelors,51000,86300,
Communication Studies & Journalism,Bachelors,44800,86200,
Management,Bachelors,51600,86200,
General Science,Bachelors,49100,86100,
Magazine Journalism,Bachelors,46800,86100,
Electronics & Computer Technology,Bachelors,55600,86000,
Theatre & Drama Studies,Bachelors,44800,86000,
Animation,Bachelors,45000,85900,
Biology & Chemistry,Bachelors,49200,85900,
Diagnostic Medical Ultrasound,Bachelors,67700,85900,
History & Politics,Bachelors,49500,85900,
Public Affairs,Bachelors,52700,85900,
Romance Languages,Bachelors,53000,85900,
Physiology,Bachelors,49300,85900,
Corporate Communications,Bachelors,48500,85700,
International Affairs,Bachelors,51600,85700,
Nursing Science,Bachelors,66800,85700,
Organizational Development,Bachelors,53800,85700,
Textile & Apparel Studies,Bachelors,47100,85700,
Business Administration,Bachelors,52800,85600,
Business Administration & Accounting,Bachelors,52400,85600,
Philosophy & Religion,Bachelors,43800,85600,
Architectural Design,Bachelors,47700,85400,
Textile Design,Bachelors,50000,85200,
Interpersonal & Organizational Communication,Bachelors,42400,85200,
Geographic Information Systems (GIS),Bachelors,50000,85100,
Business Management,Bachelors,51700,85000,
Linguistics,Bachelors,52100,84900,
French Language,Bachelors,49600,84800,
Communication,Bachelors,48000,84700,
Neuroscience,Bachelors,51800,84700,
Business Management & Human Resources Management (HRM),Bachelors,46800,84600,
Journalism & Mass Communication,Bachelors,46300,84600,
Accounting & Management,Bachelors,55500,84500,
Sociology & Organizational Studies,Bachelors,53500,84300,
Crop Science,Bachelors,48700,84200,
French Studies,Bachelors,52400,84200,
Writing,Bachelors,44200,84200,
Nursing,Bachelors,65000,84200,
History,Bachelors,47800,84100,
Biology,Bachelors,47100,84000,
Land Surveying,Bachelors,51900,84000,
Architectural Technology,Bachelors,46700,83900,
Health Care,Bachelors,44400,83900,
Integrated Marketing Communications,Bachelors,47000,83900,
Agriculture,Bachelors,47700,83800,
Digital Design,Bachelors,50000,83600,
Marketing & Advertising,Bachelors,49300,83600,
Organizational Communication,Bachelors,46400,83600,
Visual Effects & Motion Graphics,Bachelors,48100,83400,
Public Relations & Communication,Bachelors,45700,83300,
General & Strategic Management,Bachelors,51200,83300,
Foreign Languages,Bachelors,48400,83100,
Retail Merchandising,Bachelors,50900,83100,
Agribusiness Management,Bachelors,47700,83000,
Global Business,Bachelors,55800,83000,
Professional & Technical Writing,Bachelors,48500,83000,
Computer Art,Bachelors,40400,82900,
Environmental Management,Bachelors,50200,82900,
Environmental Studies,Bachelors,48500,82900,
Journalism,Bachelors,45900,82900,
Travel Industry Management,Bachelors,52600,82900,
International Development Studies,Bachelors,47700,82800,
Natural Sciences,Bachelors,45100,82800,
Retail & Consumer Science,Bachelors,51800,82800,
Literature,Bachelors,46800,82800,
Bachelor in Science Nursing,Bachelors,64000,82700,
History & Political Science,Bachelors,50600,82700,
Museum Studies,Bachelors,38900,82700,
Computer Information Management,Bachelors,49400,82600,
Dental Hygiene,Bachelors,72700,82600,
Law,Bachelors,54300,82600,
Network Technology,Bachelors,59800,82600,
Media Studies,Bachelors,50700,82400,
Environmental Geography,Bachelors,50200,82300,
Law Enforcement,Bachelors,46700,82200,
Nuclear Medicine,Bachelors,60300,81900,
Bachelor of Science in Nursing,Bachelors,63800,81900,
Computer Animation,Bachelors,46800,81800,
Landscape Architecture,Bachelors,51500,81800,
Publishing,Bachelors,46300,81800,
Interior Architecture,Bachelors,47600,81500,
Diagnostic Medical Sonography,Bachelors,64300,81400,
Environmental & Natural Resource Economics,Bachelors,52400,81400,
Public Relations (PR),Bachelors,45600,81400,
Workforce Education & Development,Bachelors,59900,81400,
American History (United States),Bachelors,50900,81300,
Drama,Bachelors,47400,81100,
Management (MGT),Bachelors,47000,81000,
Merchandising Management,Bachelors,46800,80900,
Environmental Biology,Bachelors,45000,80800,
Accounting & Business,Bachelors,52400,80700,
Automotive Technology & Service Management,Bachelors,48800,80500,
Speech Communication,Bachelors,46700,80500,
Allied Health,Bachelors,44800,80400,
Agricultural Systems Technology,Bachelors,60500,80300,
Emergency Management,Bachelors,50900,80300,
Network Administration,Bachelors,48700,80300,
Communication Management,Bachelors,46000,80200,
Historic Preservation,Bachelors,43400,80000,
Broadcast Journalism,Bachelors,42900,79900,
Broadcast & Cinematic Arts,Bachelors,42800,79900,
